Trip Id,Trip  Duration,Start Station Id,Start Time,Start Station Name,End Station Id,End Time,End Station Name,Bike Id,User Type
14960167,416,7002,02/27/2022 14:55,St. George St / Bloor St W,7191,02/27/2022 15:02,Central Tech  (Harbord St),4193,Casual Member
14960168,389,7211,02/27/2022 14:55,Fort York Blvd / Garrison Rd,7171,02/27/2022 15:01,Ontario Place Blvd / Lake Shore Blvd W (East),1161,Annual Member
14960169,1409,7409,02/27/2022 14:55,Isabella St / Church St,7160,02/27/2022 15:18,King St W / Tecumseth St,4070,Casual Member
14960170,1153,7126,02/27/2022 14:55,Yonge St / Yorkville Ave,7491,02/27/2022 15:14,D'Arcy St / Spadina Ave - SMART,2334,Casual Member
14960171,503,7177,02/27/2022 14:55,East Liberty St / Pirandello St,7171,02/27/2022 15:03,Ontario Place Blvd / Lake Shore Blvd W (East),5758,Annual Member
14960172,500,7177,02/27/2022 14:55,East Liberty St / Pirandello St,7171,02/27/2022 15:03,Ontario Place Blvd / Lake Shore Blvd W (East),6356,Annual Member
14960173,1069,7126,02/27/2022 14:56,Yonge St / Yorkville Ave,7491,02/27/2022 15:13,D'Arcy St / Spadina Ave - SMART,5725,Casual Member
14960174,612,7261,02/27/2022 14:56,Queens Quay E / Lower Sherbourne St,7344,02/27/2022 15:06,Cherry Beach,2996,Casual Member
14960176,1547,7155,02/27/2022 14:57,Bathurst St / Lennox St,7164,02/27/2022 15:23,Gould St / Yonge St (Ryerson University),3832,Casual Member
14960177,511,7038,02/27/2022 14:57,Dundas St W / Yonge St,7544,02/27/2022 15:06,Foster Pl / Elizabeth St,1261,Annual Member
14960178,218,7152,02/27/2022 14:57,Ossington Ave / Bloor St W,7184,02/27/2022 15:01,Ossington Ave / College St,4594,Annual Member
14960179,918,7100,02/27/2022 14:57,Dundas St E / Regent Park Blvd,7491,02/27/2022 15:13,D'Arcy St / Spadina Ave - SMART,4306,Annual Member
14960180,679,7462,02/27/2022 14:58,Richmond St E / Yonge St,7168,02/27/2022 15:09,Queens Quay / Yonge St,1867,Casual Member
14960181,497,7293,02/27/2022 14:58,College St / McCaul St,7217,02/27/2022 15:06,Soho St / Queen St W,2627,Casual Member
14960182,992,7543,02/27/2022 14:58,Nassau St / Bellevue Ave,7543,02/27/2022 15:15,Nassau St / Bellevue Ave,5994,Annual Member
14960183,377,7076,02/27/2022 14:59,York St / Queens Quay W,7259,02/27/2022 15:05,Lower Spadina Ave / Lake Shore Blvd,1130,Annual Member
14960184,611,7472,02/27/2022 14:59,Dundas St E / Victoria St,7549,02/27/2022 15:09,439 Sherbourne St,3727,Annual Member
14960185,1056,7182,02/27/2022 14:59,Sterling Rd / Dundas St W,7265,02/27/2022 15:16,Wallace Ave / Symington Ave - SMART,5674,Casual Member
14960186,403,7071,02/27/2022 14:59,161 Bleecker St (South of Wellesley),7272,02/27/2022 15:06,Yonge St / Dundonald St - SMART,861,Casual Member
14960187,1066,7032,02/27/2022 14:59,Augusta Ave / Dundas St W,7210,02/27/2022 15:17,Mary McCormick Rec Centre (Sheridan Ave),1804,Annual Member
14960188,574,7182,02/27/2022 14:59,Sterling Rd / Dundas St W,7179,02/27/2022 15:09,Bloor GO / UP Station (West Toronto Railpath),3542,Casual Member
14960189,207,7270,02/27/2022 15:00,Church St / Dundas St E - SMART,7462,02/27/2022 15:03,Richmond St E / Yonge St,6367,Annual Member
14960190,772,7309,02/27/2022 15:00,Queen St. E / Rhodes Ave.,7088,02/27/2022 15:13,Danforth Ave / Coxwell Ave,3976,Casual Member
14960191,639,7189,02/27/2022 15:00,Augusta Ave / Denison Sq,7271,02/27/2022 15:11,Yonge St / Alexander St - SMART,6451,Annual Member
14960192,352,7129,02/27/2022 15:01,Davenport Rd / Avenue Rd,7029,02/27/2022 15:07,Bay St / Bloor St W (East Side),6273,Annual Member
14960193,382,7190,02/27/2022 15:01,St. George St / Hoskin Ave,7248,02/27/2022 15:08,Baldwin Ave / Spadina Ave - SMART,4286,Annual Member
14960194,1345,7389,02/27/2022 15:02,College Park- Gerrard Entrance,7239,02/27/2022 15:24,Bloor St W / Manning Ave - SMART,6511,Annual Member
14960195,1017,7261,02/27/2022 15:02,Queens Quay E / Lower Sherbourne St,7172,02/27/2022 15:19,Strachan Ave / Princes' Blvd,1310,Annual Member
14960196,1226,7155,02/27/2022 15:02,Bathurst St / Lennox St,7164,02/27/2022 15:22,Gould St / Yonge St (Ryerson University),264,Casual Member
14960197,202,7006,02/27/2022 15:02,Bay St / College St (East Side),7041,02/27/2022 15:05,Edward St / Yonge St,409,Annual Member
14960198,708,7031,02/27/2022 15:03,Jarvis St / Isabella St,7408,02/27/2022 15:14,University Ave / Armoury St,5604,Annual Member
14960199,1253,7169,02/27/2022 15:03,Front St W / Bay St (North Side),7104,02/27/2022 15:24,King St E / River St,952,Casual Member
14960200,324,7164,02/27/2022 15:03,Gould St / Yonge St (Ryerson University),7162,02/27/2022 15:08,Hayter St / Laplante Ave,4533,Casual Member
14960201,493,7271,02/27/2022 15:04,Yonge St / Alexander St - SMART,7034,02/27/2022 15:12,Church St / Bloor St E,905,Annual Member
14960202,857,7271,02/27/2022 15:04,Yonge St / Alexander St - SMART,7077,02/27/2022 15:19,College Park South,5399,Casual Member
14960203,164,7024,02/27/2022 15:04,Dundonald St / Church St,7001,02/27/2022 15:07,Wellesley Station Green P,4857,Casual Member
14960204,264,7506,02/27/2022 15:05,Berkeley St / Adelaide St E - SMART,7576,02/27/2022 15:10,Front St E / Bayview Avenue,1154,Annual Member
14960205,1002,7264,02/27/2022 15:06,Bloor St E / Huntley St - SMART,7338,02/27/2022 15:22,Logan Ave / Bain Ave,555,Casual Member
14960206,776,7102,02/27/2022 15:06,Nelson St / Duncan St,7251,02/27/2022 15:19,The Royal Ontario Museum (Bloor St Entrance),5553,Casual Member
14960207,555,7136,02/27/2022 15:06,Queen St W / Close Ave,7046,02/27/2022 15:15,Niagara St / Richmond St W,850,Annual Member
14960208,860,7544,02/27/2022 15:06,Foster Pl / Elizabeth St,7126,02/27/2022 15:21,Yonge St / Yorkville Ave,1261,Annual Member
14960209,582,7462,02/27/2022 15:06,Richmond St E / Yonge St,7299,02/27/2022 15:16,Mill St / Parliament St,5130,Annual Member
14960211,564,7577,02/27/2022 15:07,Oak St / Sumach St,7038,02/27/2022 15:16,Dundas St W / Yonge St,6132,Annual Member
14960212,134,7677,02/27/2022 15:07,1303 Yonge St - SMART,7642,02/27/2022 15:09,Yonge St / St Clair Ave,1314,Casual Member
14960214,1705,7089,02/27/2022 15:07,Church St  / Wood St,7203,02/27/2022 15:36,Bathurst St/Queens Quay(Billy Bishop Airport),3364,Casual Member
14960215,345,7482,02/27/2022 15:07,Danforth Ave / Sibley Ave,7605,02/27/2022 15:13,Lumsden Ave / Eastdale Ave,624,Annual Member
14960216,641,7388,02/27/2022 15:07,Broadview Ave / Danforth Ave,7034,02/27/2022 15:18,Church St / Bloor St E,4314,Casual Member
14960217,809,7312,02/27/2022 15:07,Amelia St. / Sumach St.,7021,02/27/2022 15:21,Bay St / Albert St,6312,Annual Member
14960218,1853,7341,02/27/2022 15:07,Eastern Ave / Winnifred Ave,7034,02/27/2022 15:38,Church St / Bloor St E,2076,Casual Member
14960219,664,7332,02/27/2022 15:08,200 Bloor St. E.,7351,02/27/2022 15:19,Pretoria Av / Broadview Av,1139,Annual Member
14960220,322,7020,02/27/2022 15:08,Phoebe St / Spadina Ave,7372,02/27/2022 15:13,Adelaide St W / Portland St,4183,Annual Member
14960221,645,7332,02/27/2022 15:08,200 Bloor St. E.,7351,02/27/2022 15:19,Pretoria Av / Broadview Av,6912,Annual Member
14960222,414,7272,02/27/2022 15:08,Yonge St / Dundonald St - SMART,7418,02/27/2022 15:15,College Park - Yonge St Entrance,6144,Annual Member
14960223,367,7192,02/27/2022 15:09,Harbord St / Clinton St,7078,02/27/2022 15:15,College St / Major St,4212,Annual Member
14960225,127,7381,02/27/2022 15:09,Yonge St / Orchard View Blvd,7403,02/27/2022 15:11,Lascelles Blvd / Eglinton Ave W,6413,Annual Member
14960226,517,7090,02/27/2022 15:10,Danforth Ave / Lamb Ave,7450,02/27/2022 15:18,Carlaw Ave / Danforth Ave,571,Casual Member
14960227,324,7372,02/27/2022 15:10,Adelaide St W / Portland St,7102,02/27/2022 15:15,Nelson St / Duncan St,2357,Annual Member
14960228,192,7030,02/27/2022 15:10,Bay St / Wellesley St W,7281,02/27/2022 15:14,Charles St W / Balmuto St - SMART,2244,Annual Member
14960229,243,7157,02/27/2022 15:11,Dufferin St / Bloor St,7152,02/27/2022 15:15,Ossington Ave / Bloor St W,5148,Annual Member
14960230,1187,7202,02/27/2022 15:11,Queen St W / York St (City Hall),7148,02/27/2022 15:30,King St W / Joe Shuster Way,3829,Annual Member
14960231,495,7343,02/27/2022 15:11,Alton Ave / Dundas St E (Greenwood Park),7433,02/27/2022 15:19,Dundas St E / Boulton Ave - SMART,2163,Annual Member
